월,디비전,국가,거래선,모델,수량,매출,비용1,비용2,비용3,영업이익
202605,Display,UK,BestBuy,OLED77_C4,253,180012,54877,30368,10960,98427
202501,Appliances,US,Amazon,SmartMonitor_M8,420,161805,126847,42374,14129,62775
202511,TV,PL,Amazon,Galaxy_A55,318,55109,27507,14127,24422,5282
202508,TV,KR,Walmart,Galaxy_ZFold6,340,122657,133833,11161,3858,-2432
202510,Mobile,DE,Walmart,Galaxy_A55,41,323798,140573,52064,9571,119254
202507,Appliances,DE,Costco,Galaxy_A55,138,446128,184731,57293,25115,98048
202503,Display,DE,Amazon,Galaxy_A55,115,354792,220300,69228,16305,57317
202503,Appliances,UK,Walmart,QLED85_Q80,225,195828,200703,13653,4733,80449
202606,Mobile,PL,BestBuy,OLED_Monitor34,441,447614,71884,61110,1606,132121
202505,TV,US,Amazon,Jet_Cleaner,24,147663,46048,23299,3761,112375
202512,TV,US,Target,SmartMonitor_M8,155,287199,114097,68272,14009,149757
202512,Mobile,DE,Walmart,NeoQLED_75,238,418734,185626,53066,29844,82513
202607,Appliances,KR,BestBuy,Bespoke_4Door,480,446665,121644,23029,16845,46995
202506,Mobile,KR,BestBuy,Galaxy_A55,51,321864,193063,16699,18156,4559
202502,Display,KR,Target,Grande_Washer,293,188345,21049,36487,29723,141671
202512,Display,KR,Walmart,Bespoke_4Door,73,407824,20313,18768,22403,76667
202607,Mobile,US,Costco,OLED65_G4,253,36062,160903,26955,14186,443
202505,Display,US,BestBuy,Jet_Cleaner,426,99978,118533,44692,22061,68078
202512,Display,PL,Amazon,Grande_Washer,27,345326,51841,77075,7139,129465
202605,TV,US,Costco,SmartMonitor_M8,58,28358,57892,21524,7157,-2766
202605,Appliances,PL,BestBuy,Bespoke_4Door,309,447234,119247,42072,24109,108142
202510,TV,PL,BestBuy,OLED77_C4,10,389035,245873,33025,23736,19819
202611,TV,UK,Target,NeoQLED_75,432,406471,114375,61823,22649,69904
202605,Appliances,US,Walmart,SmartMonitor_M8,133,336771,77891,77030,26834,120196
202603,TV,KR,Walmart,OLED_Monitor34,254,73700,6874,46454,24497,113249
202512,Display,DE,Target,OLED65_G4,490,228857,143250,29237,12703,50796
202604,Mobile,PL,Target,SmartMonitor_M8,201,205534,229674,43517,3238,27895
202612,Mobile,DE,Costco,QLED85_Q80,477,318751,76469,38178,29935,13013
202607,Appliances,KR,Costco,Galaxy_S24U,402,144776,13165,33131,26973,137572
202508,Mobile,PL,Target,OLED77_C4,236,174641,122810,72093,27150,12458
202609,Mobile,PL,Costco,OLED65_G4,293,86245,32031,7702,4848,105154
202605,Mobile,US,Amazon,OLED_Monitor34,371,23836,205634,53502,4736,51453
202611,Mobile,UK,Target,Grande_Washer,216,101619,202710,19917,1330,57396
202505,TV,DE,Walmart,QLED85_Q80,243,425684,136644,60055,5395,93971
202610,Display,KR,Walmart,SmartMonitor_M8,28,98492,219462,46463,19783,133477
202604,Display,UK,Target,SmartMonitor_M8,285,266173,86350,11326,9520,58716
202506,Mobile,UK,Walmart,OLED65_G4,81,277137,76146,19949,4056,81438
202508,Appliances,US,BestBuy,Galaxy_ZFold6,381,116538,40566,32116,15374,81953
202606,TV,PL,Amazon,OLED_Monitor34,254,58027,21512,7743,9557,44659
202512,Mobile,KR,BestBuy,NeoQLED_75,463,85393,197997,27752,4859,18581
202603,Mobile,UK,Target,NeoQLED_75,69,163232,120653,68271,3292,81638
202509,Appliances,UK,Walmart,OLED65_G4,67,306220,45042,15262,28027,83176
202601,TV,DE,Costco,OLED65_G4,477,101257,186747,71125,9431,86431
202603,Mobile,KR,BestBuy,Jet_Cleaner,150,337940,231541,66426,22512,46211
202510,Appliances,KR,BestBuy,QLED85_Q80,370,20149,216186,54793,19283,73053
202604,TV,UK,Walmart,Bespoke_4Door,10,196883,222127,38195,26219,138820
202507,TV,PL,Costco,Jet_Cleaner,294,370221,249720,34155,27624,22758
202605,Mobile,KR,Target,NeoQLED_75,134,204096,52539,70749,3509,18910
202611,Appliances,KR,Walmart,OLED_Monitor34,281,332504,152538,37800,7373,44709
202609,Appliances,DE,Amazon,OLED77_C4,218,313893,226134,65722,2059,114094
202610,Mobile,DE,Amazon,Galaxy_S24U,377,442356,60709,73226,12649,115796
202507,Mobile,DE,Target,Bespoke_4Door,102,265442,46530,59716,13126,130796
202602,Mobile,PL,Target,Grande_Washer,415,136098,199953,60745,20367,67256
202603,Appliances,PL,Amazon,Galaxy_S24U,456,364443,139564,43842,24126,135055
202609,TV,KR,Costco,QLED85_Q80,11,227763,247243,38250,11200,67021
202507,Mobile,PL,Target,Galaxy_ZFold6,225,480520,174790,46538,3180,117114
202509,Display,DE,Amazon,Galaxy_ZFold6,371,53862,192091,59565,15321,143436
202607,Display,PL,Costco,OLED_Monitor34,474,190448,235219,32538,24449,128439
202604,Mobile,KR,Costco,Galaxy_S24U,101,167963,28654,30085,22807,24249
202508,Display,UK,Target,Jet_Cleaner,269,408583,120486,71556,11254,104185
202606,TV,US,BestBuy,OLED65_G4,432,33067,196007,34235,14923,26278
202611,TV,PL,Costco,NeoQLED_75,415,485109,11994,26755,27991,32167
202606,Display,UK,Target,NeoQLED_75,471,259095,249656,15718,25411,57460
202608,Appliances,KR,Costco,NeoQLED_75,248,84426,85633,75606,27140,20260
202507,Mobile,UK,Walmart,Galaxy_ZFold6,388,109324,52488,3924,26042,126638
202503,Appliances,UK,Costco,NeoQLED_75,277,415317,167938,62258,22774,30382
202606,TV,UK,BestBuy,OLED65_G4,421,123751,202298,6308,7556,145610
202510,Display,DE,Costco,Galaxy_A55,101,498637,243956,25336,12497,13073
202507,Mobile,PL,BestBuy,OLED_Monitor34,231,215601,23847,68188,7847,102462
202605,Display,UK,Amazon,SmartMonitor_M8,118,160552,140268,75803,15395,109034
202602,Display,KR,BestBuy,Galaxy_ZFold6,24,360145,171628,46814,5667,136437
202612,Appliances,US,Costco,Bespoke_4Door,275,358622,141719,63245,13248,59385
202503,Appliances,US,Amazon,Galaxy_ZFold6,191,304673,81886,33416,18845,141791
202512,Display,US,Amazon,QLED85_Q80,106,350442,174969,5687,28030,56535
202601,TV,DE,Amazon,OLED65_G4,472,406435,163324,34334,11715,16189
202502,Mobile,PL,Amazon,NeoQLED_75,297,33238,75446,55178,26227,67527
202503,Display,US,Costco,Galaxy_S24U,267,69619,60151,32262,23663,24883
202505,Display,DE,Target,OLED_Monitor34,361,100998,128729,5993,6585,84444
202511,Display,KR,BestBuy,Grande_Washer,350,403644,246364,20515,9392,-1921
202508,Display,KR,Target,Galaxy_A55,196,68557,131896,9669,20169,53348
202611,Appliances,DE,Target,Galaxy_A55,431,467766,169654,17263,14190,30544
202611,Appliances,PL,BestBuy,OLED65_G4,220,324581,199497,34068,19482,54565
202512,TV,KR,Walmart,OLED77_C4,253,101322,170456,5845,26957,32418
202507,Mobile,PL,BestBuy,Jet_Cleaner,291,364277,42772,27330,5176,121169
202603,Display,DE,Walmart,Galaxy_ZFold6,404,476706,148954,62223,22542,96397
202612,TV,KR,BestBuy,QLED85_Q80,348,41018,115486,40671,14284,12949
202605,Appliances,KR,Target,SmartMonitor_M8,266,380974,7644,67375,12305,109694
202504,Mobile,UK,Target,Galaxy_A55,442,229173,246008,63297,1095,54739
202610,TV,KR,BestBuy,Galaxy_A55,417,296552,10136,50096,5742,58432
202601,Mobile,US,Amazon,Jet_Cleaner,463,281317,40453,9568,2948,-2831
202606,Mobile,UK,Walmart,OLED_Monitor34,242,84437,135957,32926,15558,51757
202501,Mobile,DE,Amazon,NeoQLED_75,289,15334,110098,13305,1469,47317
202604,Appliances,US,Walmart,OLED77_C4,461,191616,115218,50911,8546,34282
202601,Display,US,Target,QLED85_Q80,480,50076,222690,39119,2587,7122
202510,Mobile,PL,Walmart,Grande_Washer,379,332345,67008,43015,5354,107609
202512,TV,UK,Target,OLED_Monitor34,282,209615,35840,26861,1821,72042
202502,Mobile,PL,BestBuy,Galaxy_A55,135,299343,78212,66419,7148,51717
202611,Mobile,UK,BestBuy,Galaxy_ZFold6,384,90512,242068,75535,2532,52911
202503,Appliances,UK,Costco,Galaxy_S24U,39,399698,43822,51589,12718,75955
202510,TV,US,Costco,OLED77_C4,242,223934,244703,31925,13136,22765
202502,Mobile,KR,BestBuy,NeoQLED_75,21,74729,214984,24477,28590,100924
202611,Appliances,PL,Costco,Galaxy_S24U,422,381073,134304,12348,5775,43563
202601,Appliances,PL,BestBuy,SmartMonitor_M8,238,492955,213367,37334,19477,136559
202601,Display,US,Amazon,Bespoke_4Door,278,27339,108218,76320,27140,140677
202606,Display,KR,Target,OLED65_G4,141,135046,42324,56109,14941,148811
202503,Display,UK,BestBuy,Grande_Washer,240,388437,190339,65621,1214,-7118
202507,Mobile,UK,Costco,Galaxy_S24U,58,414786,127924,29580,29524,121385
202602,Mobile,KR,Costco,Bespoke_4Door,415,86324,85198,54927,14568,149006
202608,Mobile,UK,Costco,OLED77_C4,453,36341,177398,52303,17442,34802
202605,Appliances,PL,Amazon,Grande_Washer,40,398697,245326,71722,25329,54258
202609,Mobile,PL,Amazon,Galaxy_S24U,15,73697,188301,47419,5256,13831
202512,Appliances,PL,Amazon,SmartMonitor_M8,207,442180,99400,32385,29268,76904
202604,TV,US,BestBuy,Galaxy_S24U,142,258470,78673,66837,6181,64674
202612,Mobile,UK,Target,Galaxy_ZFold6,18,267752,144128,46961,26432,85293
202512,TV,US,Amazon,Galaxy_S24U,427,147225,212372,35868,1935,38279
202603,Display,UK,Costco,NeoQLED_75,321,303935,27524,59613,14536,38882
202510,TV,PL,Costco,Jet_Cleaner,65,97917,218944,25667,14935,40583
202507,TV,PL,Amazon,Galaxy_ZFold6,107,259832,8050,50503,11493,-1319
202608,Appliances,KR,Target,Jet_Cleaner,239,170481,119587,17337,7328,45744
202505,Appliances,UK,Target,OLED77_C4,243,267871,234218,33504,14493,32878
202501,Appliances,DE,Target,SmartMonitor_M8,19,480012,103542,52689,17877,34975
202605,Appliances,US,Costco,Galaxy_S24U,421,401316,12753,42222,2185,50976
202503,Display,PL,BestBuy,Galaxy_S24U,303,443222,27925,25975,27949,538
202601,TV,KR,Walmart,Grande_Washer,442,76894,77480,51668,6799,65353
202602,Display,KR,Amazon,Jet_Cleaner,258,374545,83093,21890,28339,73477
202612,Display,PL,Amazon,Galaxy_ZFold6,476,26835,78002,45305,1716,114261
202606,Appliances,UK,Walmart,Galaxy_ZFold6,136,362650,145338,7322,25066,117452
202504,TV,KR,Walmart,QLED85_Q80,393,494649,211259,47283,13741,65418
202606,TV,UK,Costco,Bespoke_4Door,333,133489,15729,59813,14249,123079
202505,Display,KR,Costco,Galaxy_ZFold6,262,223956,54035,29420,6368,30111
202604,Appliances,US,Amazon,Galaxy_S24U,230,125917,105904,76513,6519,136171
202501,Display,UK,BestBuy,Galaxy_ZFold6,477,319687,156173,77824,10596,32304
202609,TV,KR,Amazon,Bespoke_4Door,25,37970,74805,72053,19828,85031
202602,Appliances,PL,Amazon,Grande_Washer,348,162085,138983,54335,16830,59266
202603,Display,DE,Amazon,Galaxy_ZFold6,442,418993,220975,69851,27120,32628
202509,TV,PL,Costco,Jet_Cleaner,478,226094,87224,28841,9988,43559
202603,Mobile,UK,Amazon,OLED77_C4,120,295560,54327,63129,19259,55792
202605,Appliances,PL,BestBuy,OLED77_C4,128,169725,21379,26647,1371,98116
202612,TV,PL,BestBuy,QLED85_Q80,464,383998,108478,10083,15594,57963
202504,Appliances,DE,BestBuy,OLED_Monitor34,413,138369,112728,68120,29470,3089
202512,TV,PL,Amazon,SmartMonitor_M8,453,87969,59976,3967,11190,133172
202505,Appliances,KR,Walmart,Jet_Cleaner,385,98496,190772,53174,7052,101570
202505,Mobile,US,Amazon,Galaxy_A55,486,262881,107603,76256,12634,53950
202511,Display,DE,Walmart,Galaxy_A55,162,163524,47437,21226,10715,21847
202506,Display,UK,Amazon,OLED_Monitor34,47,40517,227236,49030,19532,9048
202507,Display,KR,BestBuy,QLED85_Q80,110,59340,81281,44853,8602,126342
202612,Mobile,UK,Walmart,Galaxy_ZFold6,171,462871,19479,78814,26277,105399
202602,Appliances,DE,BestBuy,SmartMonitor_M8,396,382818,101259,45277,16634,12861
202612,Appliances,DE,Amazon,Galaxy_S24U,479,488871,249810,27217,11054,132254
202511,TV,PL,Costco,Galaxy_S24U,429,433626,51214,2620,20145,149880
202601,TV,DE,Walmart,SmartMonitor_M8,471,463448,232323,63642,5975,103800
202502,Appliances,UK,Amazon,Jet_Cleaner,58,464873,74088,41976,19067,29238
202507,Mobile,DE,BestBuy,Bespoke_4Door,230,166231,220964,67863,16334,35673
202608,Mobile,US,Target,SmartMonitor_M8,278,484576,93614,35517,7973,52100
202504,Display,PL,Costco,SmartMonitor_M8,305,364950,69126,54429,15760,6573
202508,Display,DE,Target,Bespoke_4Door,75,137245,137588,9673,11613,95166
202608,Display,US,Target,Bespoke_4Door,120,321880,20050,13668,26837,130879
202610,Appliances,UK,Costco,NeoQLED_75,149,180250,75879,62165,14890,105510
202609,TV,UK,BestBuy,QLED85_Q80,142,26981,132099,10946,9085,47761
202607,Appliances,US,Target,NeoQLED_75,54,214951,243696,43327,17556,104619
202601,Appliances,US,Target,Galaxy_A55,472,442424,57432,51714,1041,29839
202602,Mobile,DE,Amazon,Bespoke_4Door,450,374786,24938,73494,17596,99940
202510,Mobile,PL,Costco,Bespoke_4Door,119,39409,111344,6905,1807,19361
202511,TV,PL,Walmart,OLED_Monitor34,457,388977,193177,53075,21434,138140
202502,TV,KR,Target,OLED_Monitor34,291,106003,227988,73230,10817,-4605
202509,Appliances,US,Amazon,OLED65_G4,23,430433,122810,21072,10174,91893
202605,Appliances,UK,Costco,OLED77_C4,404,467361,218698,61361,28012,70724
202503,Appliances,KR,Walmart,Galaxy_ZFold6,64,367500,193760,12023,16823,60957
202612,Appliances,US,Walmart,QLED85_Q80,162,262004,228246,55166,2757,130727
202506,Mobile,US,Target,OLED65_G4,188,53273,5862,4409,2782,7636
202505,Display,KR,BestBuy,Galaxy_ZFold6,432,409286,201012,13145,7391,134223
202505,Display,PL,Costco,NeoQLED_75,65,366958,229628,56725,24590,131909
202610,Display,US,Amazon,Grande_Washer,126,321975,31778,58990,9779,97920
202603,TV,KR,Costco,Grande_Washer,279,473914,150425,57920,14253,-6347
202611,TV,DE,Amazon,Grande_Washer,401,66729,139298,15688,23973,101576
202605,TV,DE,Target,Bespoke_4Door,74,30931,165817,45095,8548,113039
202509,TV,UK,Costco,Grande_Washer,203,139576,38491,68398,18905,-2066
202503,Mobile,PL,Target,NeoQLED_75,225,463030,133266,30475,14562,146454
202608,Appliances,KR,BestBuy,OLED77_C4,186,313596,74124,67736,25810,104136
202605,TV,PL,Amazon,OLED65_G4,232,19441,145920,47825,4183,68903
202510,Display,PL,BestBuy,SmartMonitor_M8,345,375968,230823,36617,7986,101153
202503,TV,KR,Amazon,Galaxy_S24U,356,79272,104587,49994,17335,71326
202606,Display,US,BestBuy,Grande_Washer,116,377187,103817,30624,18111,21514
202606,Appliances,DE,Costco,Jet_Cleaner,198,427228,236534,49892,28580,122814
202605,Mobile,UK,Amazon,Bespoke_4Door,474,143682,235748,16319,24101,62960
202612,Mobile,US,Target,Grande_Washer,246,412463,169624,41744,6530,7149
202503,TV,PL,Amazon,Galaxy_S24U,236,395109,118296,71352,3897,-5122
202503,TV,PL,Walmart,OLED65_G4,296,148649,225334,48607,9150,-3112
202506,Display,KR,Amazon,Galaxy_S24U,167,50671,19162,78980,15567,102291
202601,TV,DE,Amazon,OLED65_G4,105,372105,49696,41026,18659,96988
202612,Mobile,DE,Walmart,NeoQLED_75,312,302675,170137,6000,14846,72794
202603,TV,UK,BestBuy,Bespoke_4Door,262,138744,205918,11729,9830,31331
202509,Display,US,BestBuy,Grande_Washer,151,271767,85998,66161,24943,92898
202504,Appliances,UK,Amazon,Galaxy_A55,396,208562,241385,73475,11010,74584
202602,Mobile,PL,BestBuy,QLED85_Q80,62,33340,12872,32713,13678,19729
202505,Mobile,PL,Walmart,OLED_Monitor34,373,158317,30287,65828,5693,110716
202502,Appliances,DE,Target,QLED85_Q80,289,467906,51176,67276,13111,65525
202511,Appliances,PL,BestBuy,Galaxy_ZFold6,308,276129,155863,25178,28838,-5255
202509,Mobile,US,Amazon,Galaxy_ZFold6,460,442317,72041,51787,28481,35742
202612,Display,US,Target,Galaxy_ZFold6,12,456029,69092,10691,22113,8481
202503,Display,UK,Target,NeoQLED_75,208,165843,164637,75941,19881,72197
202509,TV,US,Target,QLED85_Q80,19,51289,30115,13677,8077,132744
202503,Display,PL,Amazon,OLED_Monitor34,165,446168,112800,30486,8795,75314
202502,Mobile,KR,Target,OLED77_C4,373,252347,246232,63252,16779,55
202512,TV,DE,Walmart,Grande_Washer,402,447201,36343,20890,21149,98990
202510,Display,DE,Target,OLED77_C4,362,295223,63678,62447,23118,147846
202509,Appliances,DE,Walmart,Jet_Cleaner,331,344983,179070,20192,9291,41882
202603,Display,KR,Amazon,Jet_Cleaner,35,288528,18674,75767,27537,12038
202508,TV,PL,Amazon,Galaxy_S24U,408,456442,205640,23576,6627,7008
202505,Appliances,US,Amazon,Jet_Cleaner,304,405893,130521,67571,2844,17575
202511,TV,PL,Target,Galaxy_ZFold6,379,457794,151356,49736,6589,53593
202502,TV,UK,BestBuy,Bespoke_4Door,75,458996,8435,44711,16804,138279
202612,Appliances,PL,BestBuy,Galaxy_ZFold6,498,432763,131064,33402,23199,18355
202603,TV,PL,Target,Galaxy_S24U,345,196109,143350,22039,25252,51836
202506,Mobile,DE,Costco,OLED65_G4,45,357456,93147,17991,14893,10736
202508,TV,PL,Costco,Galaxy_A55,54,97232,132585,50798,29786,64293
202505,Mobile,KR,Walmart,Galaxy_ZFold6,229,364657,34461,18153,28815,48481
202604,Appliances,DE,BestBuy,OLED65_G4,238,124542,173607,70398,26512,111959
202606,TV,UK,Target,SmartMonitor_M8,94,71658,133314,48006,6826,115363
202506,Display,KR,Amazon,Bespoke_4Door,156,185372,35834,39553,27721,124481
202505,TV,KR,BestBuy,OLED65_G4,81,94134,47914,51445,13180,48595
202604,Mobile,UK,Target,Grande_Washer,123,459680,150127,12154,24611,90201
202601,Mobile,US,Costco,Galaxy_A55,22,144901,193935,23068,18816,140252
202505,Display,PL,Costco,Bespoke_4Door,222,308734,199500,66027,27162,137031
202601,Appliances,PL,Costco,OLED65_G4,61,188922,19245,74276,20287,53333
202605,Mobile,US,Walmart,OLED77_C4,31,175926,68534,13918,21405,120611
202606,Mobile,UK,Target,Jet_Cleaner,296,20715,116343,28468,15846,84915
202508,Mobile,US,Target,Jet_Cleaner,161,246826,15070,46304,19968,9373
202601,TV,DE,Amazon,Galaxy_ZFold6,353,54033,219737,5313,14892,117212
202607,TV,DE,Target,NeoQLED_75,111,175822,210661,16186,16068,93594
202503,TV,DE,Amazon,OLED_Monitor34,122,273297,133890,8935,2815,-3848
202612,TV,US,Costco,OLED65_G4,272,308693,22808,31546,1654,47180
202508,TV,KR,BestBuy,NeoQLED_75,40,218511,124947,15251,20020,23374
202502,Display,DE,Costco,Jet_Cleaner,17,410688,76243,46063,26610,68772
202508,Mobile,US,Target,Galaxy_A55,110,484140,82740,58962,5834,5438
202601,Display,DE,Amazon,Bespoke_4Door,160,466820,54216,62979,27901,111755
202601,Mobile,DE,Costco,OLED77_C4,405,211070,199081,70021,29542,103721
202501,TV,PL,Target,Bespoke_4Door,21,421366,224304,37252,9105,34721
202506,TV,US,Target,Grande_Washer,231,62800,222817,57221,10359,48143
202612,Appliances,PL,Amazon,OLED77_C4,119,95758,210727,57293,21476,134249
202607,Appliances,UK,Walmart,Galaxy_S24U,446,422103,28356,13157,20638,99233
202604,Display,DE,BestBuy,Galaxy_S24U,50,127253,212541,8017,11471,131993
202508,Mobile,DE,Walmart,Grande_Washer,180,185140,148492,42446,24095,96119
202501,Display,PL,Costco,SmartMonitor_M8,132,489634,196647,59330,21699,144729
202604,Appliances,US,Walmart,Grande_Washer,457,114369,243073,58482,10567,14270
202509,Mobile,KR,Amazon,Galaxy_S24U,32,169728,197378,16638,4949,46503
202601,Display,KR,BestBuy,Grande_Washer,347,101607,109865,62381,25684,101168
202511,Appliances,UK,Walmart,OLED_Monitor34,380,231106,120773,72876,26464,68482
202601,TV,US,Walmart,Grande_Washer,209,229353,220169,15285,23815,34520
202609,Display,US,BestBuy,OLED77_C4,72,89394,209695,30852,9084,146592
202510,TV,PL,Costco,Galaxy_A55,248,233110,239025,27145,9455,90154
202504,Display,DE,Amazon,Galaxy_ZFold6,453,273955,171021,50344,4878,37851
202506,Mobile,DE,BestBuy,Bespoke_4Door,94,281727,156242,10598,18874,44944
202507,Mobile,US,Costco,NeoQLED_75,257,499335,191479,70962,2198,-294
202505,Mobile,KR,BestBuy,OLED_Monitor34,305,228782,124638,52959,20879,23813
202511,Mobile,UK,Amazon,QLED85_Q80,391,388956,197564,46199,26882,121774
202601,Appliances,PL,Amazon,OLED77_C4,127,438542,23772,61693,21344,98160
202607,TV,US,Walmart,Galaxy_S24U,152,220958,114922,30325,12002,51250
202611,Appliances,UK,Walmart,Galaxy_ZFold6,106,326786,232607,58280,10583,126477
202510,Display,US,Target,QLED85_Q80,103,212139,54044,76549,26407,4390
202510,Display,UK,Target,Galaxy_A55,478,465290,242528,37812,1969,59181
202511,TV,UK,Walmart,Galaxy_ZFold6,118,106163,92285,48925,24165,13629
202609,TV,DE,Amazon,NeoQLED_75,195,435522,119840,78670,26972,115261
202507,Appliances,PL,Costco,NeoQLED_75,491,449945,5708,59090,29185,36844
202606,Mobile,PL,Walmart,OLED65_G4,356,177319,165626,67992,7234,87181
202504,Appliances,DE,Target,OLED_Monitor34,412,285873,81408,67113,7333,146921
202502,Appliances,KR,Amazon,OLED65_G4,485,328330,239731,58717,11099,141184
202602,Display,PL,BestBuy,OLED65_G4,241,80705,123016,30794,26423,101309
202601,Appliances,DE,Walmart,Grande_Washer,381,481175,56420,45438,12632,131692
202512,TV,UK,Walmart,SmartMonitor_M8,301,109733,169491,65101,21940,23534
202507,Mobile,UK,Costco,OLED77_C4,440,366044,48718,33690,4206,113043
202502,Display,PL,Amazon,Grande_Washer,465,300318,85575,74276,5062,86542
202601,TV,UK,Costco,Galaxy_A55,440,403202,91854,46997,29843,71438
202602,Display,PL,BestBuy,Galaxy_ZFold6,121,132171,209881,63080,15103,-2923
202605,Appliances,US,Amazon,OLED77_C4,172,252485,192473,65151,25478,127553
202509,Appliances,DE,Costco,Jet_Cleaner,460,277565,194026,47821,14325,15509
202605,TV,KR,BestBuy,Galaxy_ZFold6,55,56031,203149,39613,10332,-1098
202508,TV,PL,BestBuy,Grande_Washer,438,393163,225088,21434,13815,67171
202502,Display,KR,Walmart,OLED_Monitor34,474,332841,200879,68673,27434,41936
202612,Mobile,DE,Amazon,OLED65_G4,65,497632,223559,63442,8725,103594
202601,Display,DE,BestBuy,Galaxy_S24U,54,114626,145425,57891,16156,48518
202503,Appliances,US,Costco,OLED65_G4,351,272450,224999,41502,18280,-3930
202604,TV,DE,Amazon,OLED77_C4,164,99577,88156,56741,9094,41124
202506,TV,UK,BestBuy,OLED_Monitor34,23,63206,239688,61853,7615,6546
202607,Display,KR,Walmart,OLED77_C4,437,199885,35510,31055,27914,97427
202507,TV,DE,Target,Galaxy_A55,427,213240,81483,65713,5081,97548
202510,TV,DE,Target,Galaxy_ZFold6,367,340359,198442,26214,6590,100965
202509,Appliances,KR,Target,OLED_Monitor34,378,115444,154041,72975,7596,2264
202502,Mobile,KR,BestBuy,Bespoke_4Door,386,239070,245920,14455,11038,80302
202603,TV,US,BestBuy,OLED65_G4,195,302898,78923,11386,15297,19106
202505,TV,DE,Costco,Galaxy_ZFold6,465,337460,69196,14329,7495,16387
202610,Display,UK,Target,Jet_Cleaner,492,228293,97101,43713,1673,141772
202504,Mobile,UK,Target,SmartMonitor_M8,130,325474,116172,8730,18037,19779
202608,Appliances,US,Amazon,OLED77_C4,176,429780,61100,58003,22128,10057
202504,TV,DE,Amazon,Grande_Washer,141,470331,221794,20243,20228,136850
202606,Mobile,KR,BestBuy,Grande_Washer,235,166182,137638,66949,11732,76713
202504,Mobile,UK,BestBuy,SmartMonitor_M8,450,216217,48420,43331,21520,102683
202605,Display,DE,Walmart,Bespoke_4Door,438,496272,213173,22610,24775,119637
202512,Appliances,US,Target,Galaxy_A55,119,438678,14273,4098,10755,109871
202610,Mobile,US,Target,SmartMonitor_M8,255,274858,39433,60878,2328,18275
202605,Appliances,KR,BestBuy,Bespoke_4Door,317,54179,147038,43692,14242,58167
202510,Mobile,US,Costco,Jet_Cleaner,56,90639,47728,12826,11630,65336
202610,TV,US,Amazon,OLED77_C4,59,250722,78271,55256,18466,63292
202501,Appliances,US,Target,Jet_Cleaner,274,304895,139702,17468,16934,40204
202610,Display,UK,Costco,QLED85_Q80,395,459899,60265,56906,20813,137168
202612,Mobile,KR,Amazon,OLED77_C4,231,238975,38337,30023,15912,34188
202606,TV,KR,Walmart,Jet_Cleaner,422,401058,82348,69047,15744,111221
202606,Mobile,KR,BestBuy,NeoQLED_75,12,325623,136875,40955,1429,103651
202602,TV,US,Costco,Bespoke_4Door,461,423144,52045,48428,19291,50604
202603,Appliances,US,Amazon,Jet_Cleaner,310,245604,54899,41560,16096,95761
202512,Display,UK,BestBuy,OLED_Monitor34,469,349647,175971,20609,5319,51350
202504,TV,US,BestBuy,Galaxy_A55,137,69666,42186,29901,21223,114629
202503,Mobile,UK,Target,NeoQLED_75,498,405530,29802,55065,28510,48385
202608,TV,KR,Amazon,Galaxy_ZFold6,160,114711,112600,39241,2461,136804
202512,TV,UK,BestBuy,OLED65_G4,162,370144,192563,23103,9791,109977
202507,Display,DE,Target,SmartMonitor_M8,454,35381,15105,4607,16429,64958
202511,Appliances,PL,BestBuy,QLED85_Q80,497,293155,242518,68794,8818,97329
202501,TV,US,Amazon,Galaxy_ZFold6,314,255169,231386,4149,25068,45466
202506,TV,KR,BestBuy,Galaxy_S24U,217,371911,7571,62385,25769,876
202603,Mobile,PL,Walmart,OLED77_C4,264,368895,42617,68519,11137,79971
202603,Mobile,PL,Walmart,Grande_Washer,487,29294,145057,70982,11633,108146
202607,Appliances,KR,Walmart,Galaxy_S24U,447,10888,113338,76623,24120,52007
202511,Appliances,PL,Walmart,Galaxy_S24U,232,254659,74931,50956,4522,28671
202611,Appliances,UK,Costco,Bespoke_4Door,184,270099,167480,60869,17273,79552
202502,Mobile,KR,BestBuy,OLED65_G4,284,489307,242357,26501,4073,5839
202602,TV,KR,BestBuy,OLED_Monitor34,341,374118,85482,12169,7389,63523
202502,Appliances,UK,BestBuy,Galaxy_A55,369,257117,230648,47550,9182,14246
202504,Mobile,DE,BestBuy,SmartMonitor_M8,332,39368,137227,74719,23972,1906
202605,Mobile,DE,Target,OLED77_C4,483,447557,114239,26351,5177,29853
202503,Appliances,PL,Costco,Galaxy_A55,430,443533,128257,75193,2140,100036
202601,Mobile,KR,BestBuy,Galaxy_S24U,202,200653,132584,61398,3267,54078
202509,TV,UK,Target,NeoQLED_75,126,39479,222972,73586,19878,-8770
202507,Display,KR,Costco,Galaxy_S24U,125,21801,5120,64506,13174,37191
202603,Mobile,UK,Target,Galaxy_S24U,311,379887,249559,6767,5473,99900
202611,Mobile,DE,Walmart,Galaxy_A55,221,465188,239918,59108,21300,122978
202511,Display,DE,Walmart,OLED77_C4,301,396266,142017,61614,29719,39149
202608,TV,PL,Target,SmartMonitor_M8,74,380143,160428,11613,11853,29024
202502,Appliances,UK,BestBuy,SmartMonitor_M8,422,274982,191742,30302,11578,78110
202603,Mobile,DE,Costco,QLED85_Q80,490,71768,162166,56188,13931,53206
202602,TV,US,Amazon,NeoQLED_75,39,382262,162868,6809,3317,101957
